번호,대분류,중분류,소분류,제목,동영상주소,운동장소구분,
43,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 팔 구부려 등 모으기 근력·근지구력 향상 프로그램,https://youtu.be/yKDmNLrGYQU,실내운동,
44,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 윗몸 말아올리기 근력·근지구력 향상 프로그램,https://youtu.be/Kyt-UTRiVnM,실내운동,
45,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 머리 뒤로 깍지 끼고 상체 숙이기 근력·근지구력 향상 프로그램,https://youtu.be/Ei7tJWdISDA,실내운동,
46,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 엎드려 무릎 당기기 근력·근지구력 향상 프로그램,https://youtu.be/r-MKM8QOH_M,실내운동,
47,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 다리 올려 의자 넘기 근력·근지구력 향상 프로그램,https://youtu.be/HA_gTzMAd9w,실내운동,
48,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 앉아서 밴드 당기기 근력·근지구력 향상 프로그램,https://youtu.be/xiIJzYConj0,실내운동,
49,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 밴드로 다리 올려 버티기 근력·근지구력 향상 프로그램,https://youtu.be/xfCUGYGnOas,실내운동,
50,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 밴드 다리 올려 버티기2 근력·근지구력 향상 프로그램,https://youtu.be/ATBODED9lpw,실내운동,
51,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 밴드 앞으로 당기기 근력·근지구력 향상 프로그램,https://youtu.be/jSyfdSN7348,실내운동,
52,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 무릎 구부려 상체 비틀기 근력·근지구력 향상 프로그램,https://youtu.be/9RlA3_KeEIg,실내운동,
53,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 공 잡고 상체 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/HxYEP4OxA6A,실외운동,실내
54,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 팔로 써클링 누르기 근력·근지구력 향상 프로그램,https://youtu.be/08ZrHhPlqag,실내운동,
55,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] V자 버티기 근력·근지구력 향상 프로그램,https://youtu.be/pgx7kHmOd08,실내운동,
56,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 써클휠로 다리 끌어당기기 근력·근지구력 향상 프로그램,https://youtu.be/s9KC6DIT8DY,실내운동,
57,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 옆으로 누워 다리 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/39UIxnja2Mc,실내운동,
58,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 엎드려 다리 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/LFdPiGNtGvs,실내운동,
59,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 무릎 굽혀 엉덩이 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/LNH-Gh5GB1k,실내운동,
60,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 옆으로 누워 무릎 벌리기 근력·근지구력 향상 프로그램,https://youtu.be/EH2tnm66bpY,실내운동,
61,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 앉았다 일어서기 근력·근지구력 향상 프로그램,https://youtu.be/CZl5Th--uhQ,실내운동,
62,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 옆으로 다리 뻗기 근력·근지구력 향상 프로그램,https://youtu.be/W87D90EHUjI,실내운동,
63,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 다리 앞뒤로 벌려 굽혔다 펴기 근력·근지구력 향상 프로그램,https://youtu.be/yn_JjLJaR4U,실내운동,
64,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 교차 다리 굽히기 근력·근지구력 향상 프로그램,https://youtu.be/qg6l38ZHUpA,실내운동,
65,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 뒷발 의자 올려 굽히기 근력·근지구력 향상 프로그램,https://youtu.be/pC-Klz76ZA8,실내운동,
66,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 앞으로 나가며 앉았다 일어서기 근력·근지구력 향상 프로그램,https://youtu.be/trVV1QXctrk,실내운동,
67,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 다리 옆으로 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/ZPeV_MD9ZlY,실내운동,
68,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 앞발 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/Wpy4zo0O-eo,실내운동,
69,운동처방전,유소년 운동처방,근력 및 근지구력,앞발 의자 올려 굽히기 근력·근지구력 향상 프로그램,https://youtu.be/3ofToKYGZX4,실내운동,
70,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 발 뒤꿈치 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/KLp2eCPRc6Q,실내운동,
71,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 밴드 한 발 뒤로 들기 근력·근지구력 향상 프로그램,https://youtu.be/96vKSCBl_WM,실내운동,
72,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 의자에 앉아 다리 펴서 들어올리기 근력·근지구력 향상 프로그램,https://youtu.be/TeOzUtF_60o,실내운동,
73,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 밴드 잡고 무릎 펴기 근력·근지구력 향상 프로그램,https://youtu.be/V3dy9zf-zeA,실내운동,
74,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 밴드 잡고 다리 옆으로 벌리기 근력·근지구력 향상 프로그램,https://youtu.be/WXatlRyvZNM,실내운동,
75,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 무릎 올려 공 닿기 근력·근지구력 향상 프로그램,https://youtu.be/aJ2URWnaYzU,실외운동,실내
76,운동처방전,유소년 운동처방,근력 및 근지구력,[유소년] 허리 비틀어 앉았다 일어서기 근력·근지구력 향상 프로그램,https://youtu.be/LXvXhGDda-c,실내운동,
77,운동처방전,유소년 운동처방,심폐지구력,[유소년] 제자리 뛰기 심폐지구력 향상 프로그램,https://youtu.be/uy1T5QNARJ4,실외운동,
78,운동처방전,유소년 운동처방,심폐지구력,[유소년] 엎드려 무릎 연속 차기 심폐지구력 향상 프로그램,https://youtu.be/uOEDN5JKB_Y,실내운동,
79,운동처방전,유소년 운동처방,심폐지구력,[유소년] 1단 줄넘기 심폐지구력 향상 프로그램,https://youtu.be/7Rqc2MhfqKU,실외운동,
80,운동처방전,유소년 운동처방,심폐지구력,[유소년] 왕복 달리기 심폐지구력 향상 프로그램,https://youtu.be/npkhsPgJKxc,실외운동,
81,운동처방전,유소년 운동처방,심폐지구력,[유소년] 계단 오르기 심폐지구력 향상 프로그램,https://youtu.be/fo1FlS41oig,실외운동,
82,운동처방전,유소년 운동처방,심폐지구력,[유소년] 박스 오르내리기 심폐지구력 향상 프로그램,https://youtu.be/B_ZmgQ0r4G0,실외운동,
83,운동처방전,유소년 운동처방,심폐지구력,[유소년] 다리 모았다 벌려 뛰기 심폐지구력 향상 프로그램,https://youtu.be/S0R0DfN9uF8,실외운동,
84,운동처방전,유소년 운동처방,심폐지구력,[유소년] 박스 옆으로 번갈아 뛰기 심폐지구력 향상 프로그램,https://youtu.be/goxQEwmXISE,실외운동,
85,운동처방전,유소년 운동처방,심폐지구력,[유소년] 한 발 무릎 위 올려차기 l 심폐지구력 향상 프로그램,https://youtu.be/NBpEWlVUiak,실내운동,
86,운동처방전,유소년 운동처방,유연성,[유소년] 발바닥 마주대고 끌어당기기 유연성 향상 프로그램,https://youtu.be/AG_1Tvtobko,실내운동,
87,운동처방전,유소년 운동처방,유연성,[유소년] 무릎 굽혀 가슴 닿기 유연성 향상 프로그램,https://youtu.be/sWMuG_CdohI,실내운동,
88,운동처방전,유소년 운동처방,유연성,[유소년] 다리 굽혀(W자) 상체 뒤로 눕기 유연성 향상 프로그램,https://youtu.be/8iOLRNEXF0Y,실내운동,
89,운동처방전,유소년 운동처방,유연성,[유소년] 발목 얹고 다리 잡아당기기 유연성 향상 프로그램,https://youtu.be/7lHtKJw7qTQ,실내운동,
90,운동처방전,유소년 운동처방,유연성,[유소년] 다리 벌려 앞으로 상체 숙이기 유연성 향상 프로그램,https://youtu.be/oPEXWcRANJA,실내운동,
91,운동처방전,유소년 운동처방,유연성,[유소년] 한 발 앞굽이 팔 위로 뻗어 가슴 내밀기 유연성 향상 프로그램,https://youtu.be/MyWN4BooK7A,실내운동,
92,운동처방전,유소년 운동처방,유연성,[유소년] 다리 벌려 옆으로 상체 숙이기 유연성 향상 프로그램,https://youtu.be/4Sh-l6LW2io,실내운동,
93,운동처방전,유소년 운동처방,유연성,[유소년] 다리 모아 상체 숙이기 유연성 향상 프로그램,https://youtu.be/UbdHMbDdlfI,실내운동,
94,운동처방전,유소년 운동처방,유연성,[유소년] 다리 꼬아 상체 앞으로 숙이기 유연성 향상 프로그램,https://youtu.be/xnDoF8SHosI,실내운동,
95,운동처방전,유소년 운동처방,유연성,[유소년] 앉아서 한발 앞으로 굽히기 유연성 향상 프로그램,https://youtu.be/z1fguNdHKLM,실내운동,
96,운동처방전,유소년 운동처방,유연성,[유소년] 앉아서 옆구리 늘려주기 유연성 향상 프로그램,https://youtu.be/M95EiuTLuC4,실내운동,
97,운동처방전,유소년 운동처방,유연성,[유소년] 앉아 윗몸 앞으로 굽히기 유연성 향상 프로그램,https://youtu.be/DSzbj4FpZ_w,실내운동,
98,운동처방전,유소년 운동처방,유연성,[유소년] 무릎 대고 상체 뒤로 젖히기 유연성 향상 프로그램,https://youtu.be/fgTEpCT_qT0,실내운동,
99,운동처방전,유소년 운동처방,유연성,[유소년] 엎드려 상체 들어올리기 유연성 향상 프로그램,https://youtu.be/UubzHdVpQjw,실내운동,
100,운동처방전,유소년 운동처방,유연성,[유소년] 엎드려 교차 발 잡아당기기 유연성 향상 프로그램,https://youtu.be/k2umioC4dn0,실내운동,
101,운동처방전,유소년 운동처방,유연성,[유소년] 한발 뒤로 빼고 앞으로 굽히기 유연성 향상 프로그램,https://youtu.be/ro5XgKye-4E,실내운동,
102,운동처방전,유소년 운동처방,유연성,[유소년] 무릎 대고 옆으로 기울이기 유연성 향상 프로그램,https://youtu.be/wp0vr0I8UEA,실내운동,
103,운동처방전,유소년 운동처방,유연성,[유소년] 누워서 굽힌 다리 펴기 유연성 향상 프로그램,https://youtu.be/NCc6T_T7JJ8,실내운동,
104,운동처방전,유소년 운동처방,유연성,[유소년] 엎드려 어깨 늘리기 유연성 향상 프로그램,https://youtu.be/BsW63YITwXg,실내운동,
105,운동처방전,유소년 운동처방,유연성,[유소년] 활 자세 유연성 향상 프로그램,https://youtu.be/roGAu693-os,실내운동,
106,운동처방전,유소년 운동처방,유연성,[유소년] 다리 모아 뒤로 눕기 유연성 향상 프로그램,https://youtu.be/0hJraABwrQ4,실내운동,
107,운동처방전,유소년 운동처방,순발력,[유소년] 팔 빨리 흔들기 순발력 향상 프로그램,https://youtu.be/ZUKM0wbqF4k,실내운동,
108,운동처방전,유소년 운동처방,순발력,[유소년] 잔발치기 순발력 향상 프로그램,https://youtu.be/C75IYA85mnk,실내운동,애매
109,운동처방전,유소년 운동처방,순발력,[유소년] 벽 잡고 빨리 뛰기 순발력 향상 프로그램,https://youtu.be/aNpV1R-dcRU,실외운동,
110,운동처방전,유소년 운동처방,순발력,[유소년] 50M 달리기 순발력 향상 프로그램,https://youtu.be/tVuErfFGLaE,실외운동,
111,운동처방전,유소년 운동처방,순발력,[유소년] 점프해서 발바닥 치기 순발력 향상 프로그램,https://youtu.be/8KF6J_MMj7w,실외운동,
112,운동처방전,유소년 운동처방,순발력,[유소년] 점프해서 손 발끝 닿기 순발력 향상 프로그램,https://youtu.be/rkfDOMaPDfw,실외운동,
113,운동처방전,유소년 운동처방,순발력,[유소년] 제자리 멀리 뛰기 순발력 향상 프로그램,https://youtu.be/bbLthsYBQDI,실외운동,
114,운동처방전,유소년 운동처방,순발력,[유소년] 대(大)자 점프 뛰기 순발력 향상 프로그램,https://youtu.be/LX1hy8AJYCE,실외운동,
115,운동처방전,유소년 운동처방,순발력,[유소년] 콘 뛰어넘기 순발력 향상 프로그램,https://youtu.be/sx_cwgl6dGo,실외운동,
116,운동처방전,유소년 운동처방,순발력,[유소년] 연속 무릎 올리기 순발력 향상 프로그램,https://youtu.be/ca_bJSTNiNE,실내운동,
117,운동처방전,유소년 운동처방,순발력,[유소년] 2단 줄넘기 순발력 향상 프로그램,https://youtu.be/MgxsqDqM9AQ,실외운동,
118,운동처방전,유소년 운동처방,민첩성,[유소년] 4방향 콘 찍고 달리기 민첩성 향상 프로그램,https://youtu.be/7BwpXiGOMjQ,실외운동,
119,운동처방전,유소년 운동처방,민첩성,[유소년] 점프하며 앞으로 나가기 민첩성 향상 프로그램,https://youtu.be/_ZoCIx54eeA,실외운동,
120,운동처방전,유소년 운동처방,민첩성,[유소년] S자 달리기 민첩성 향상 프로그램,https://youtu.be/Fwp_dC6fY7U,실외운동,
121,운동처방전,유소년 운동처방,민첩성,[유소년] 십(十)자 달리기 민첩성 향상 프로그램,https://youtu.be/k7nYGwru9qo,실외운동,
122,운동처방전,유소년 운동처방,민첩성,[유소년] 반복 옆 뛰기 민첩성 향상 프로그램,https://youtu.be/4gw_K966RAM,실외운동,
123,운동처방전,유소년 운동처방,민첩성,[유소년] 의자 잡고 반복 옆 뛰기 민첩성 향상 프로그램,https://youtu.be/hOgaVdOSwdw,실외운동,
124,운동처방전,유소년 운동처방,협응력,[유소년] 양 손 번갈아 공 튕기기 협응력 향상 프로그램,https://youtu.be/vffvCksMUfg,실외운동,
125,운동처방전,유소년 운동처방,협응력,[유소년] 공 위로 던지고 제자리 돌아 받기 협응력 향상 프로그램,https://youtu.be/m-ISbQftC2E,실외운동,
126,운동처방전,유소년 운동처방,협응력,[유소년] 십(十)자 드리블 협응력 향상 프로그램,https://youtu.be/byRsrO8qhpg,실외운동,
127,운동처방전,유소년 운동처방,협응력,[유소년] 무릎-허리 높이로 공 튕기기 협응력 향상 프로그램,https://youtu.be/z4ROS7dj1fA,실외운동,
128,운동처방전,유소년 운동처방,협응력,[유소년] 라켓으로 공치며 앞으로 가기 협응력 향상 프로그램,https://youtu.be/S8MFxWv9wg4,실외운동,
129,운동처방전,유소년 운동처방,협응력,[유소년] 훌라후프 하며 앞으로 가기 협응력 향상 프로그램,https://youtu.be/LVgDNxRug0E,실외운동,
130,운동처방전,유소년 운동처방,협응력,[유소년] 공 양 손으로 주고 받기 협응력 향상 프로그램,https://youtu.be/wpRYvVFM-HA,실외운동,
131,운동처방전,유소년 운동처방,협응력,[유소년] 벽 패스 협응력 향상 프로그램,https://youtu.be/beu4oIY1vjE,실외운동,
132,운동처방전,유소년 운동처방,협응력,[유소년] 훌라후프로 공 끌고 가기 협응력 향상 프로그램,https://youtu.be/83Y-Fp_lbf4,실외운동,
133,운동처방전,유소년 운동처방,협응력,[유소년] 공 던져 색깔 맞추기 협응력 향상 프로그램,https://youtu.be/54fLPATKj50,실외운동,
134,운동처방전,유소년 운동처방,협응력,[유소년] 계이름 치기 협응력 향상 프로그램,https://youtu.be/RBkj5eAk8N0,실내운동,애매
135,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 테이블에 팔 앞으로 뻗기,https://youtu.be/oPwT6mBN4sE,실내운동,
136,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 테이블에 엎드려 팔 뒤로 올리기,https://youtu.be/d8oicWOpW8s,실내운동,
137,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 테이블에 엎드려 팔 45˚ 벌려 들기,https://youtu.be/enWc5OFuP0s,실내운동,
138,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨1단계]누워서막대기들어올리기,https://youtu.be/1X3g_xXFxUE,실내운동,
139,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 등 뒤로 막대기 옆으로 밀기,https://youtu.be/t9FckiwWxtM,실내운동,
140,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 몸 앞에서 막대기 옆으로 밀기,https://youtu.be/WHAr1-A_1fs,실내운동,
141,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 수건을 이용한 팔 뒤로 올리기,https://youtu.be/pJGuqnje5Yo,실내운동,
142,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 벽을 이용한 팔 옆으로 올리기,https://youtu.be/YGP1Qs9bhw4,실내운동,
143,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 벽에서 팔굽혀펴기 후 벽 밀기,https://youtu.be/ESIj2DwPqeo,실내운동,
144,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 벽에서 짐볼 대고 원 그리기,https://youtu.be/XAr0m5RUdfI,실내운동,
145,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 네발기기 자세에서 짐볼로 어깨늘리기,https://youtu.be/w57JM9yd514,실내운동,
146,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 짐볼로 양팔 뻗어 어깨 스트레칭,https://youtu.be/qnI9g89iBAE,실내운동,
147,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 짐볼로 한 팔 뻗어 어깨 스트레칭,https://youtu.be/V0m3cOW0qm8,실내운동,
148,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 양발 앞뒤로 뻗어 짐볼 굴리기,https://youtu.be/HGK3fgCrgkA,실내운동,
149,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드 잡고 팔 옆으로 뻗기,https://youtu.be/B0YX1qIXMCo,실내운동,
150,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드 잡고 머리 위로 팔돌리기,https://youtu.be/OicYQ2iyaRM,실내운동,
151,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드 잡고 만세하여 삼각형 만들기,https://youtu.be/CcAfS2kTJnw,실내운동,
152,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드 당겨 올리기,https://youtu.be/WLIPn8k1NI4,실내운동,
153,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 팔다리로 밴드 늘려 옆으로 걷기,https://youtu.be/03DdfZ_V_Hk,실내운동,
154,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드잡고 팔 뒤로 뻗기,https://youtu.be/7U0ryionr3A,실내운동,
155,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 엎드려 팔꿈치 들어올리기,https://youtu.be/WuHmIr1z7so,실내운동,
156,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 엎드려 팔꿈치 들어올리고 손 띄우기,https://youtu.be/tbLxHyistws,실내운동,
157,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 엎드려 양팔 뻗어 등 조이고 뒷짐지기,https://youtu.be/UQ7z9TdvIfk,실내운동,
158,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 손머리 뒤로하고 뒷짐지기,https://youtu.be/Xx9BPWlejoI,실내운동,
